test case,benchmark name,samples,iterations,estimated,mean,low mean,high mean,std dev,low std dev,high std dev,tags,raw
generating large instruction graphs for N devices - 4,jacobi topology,100,1,126898000,1371794.5000,1355095.7100,1387817.1400,83163.4640,78343.0942,85568.7942,"benchmark,group:instruction-graph","1274806.0000,1265739.0000,1440200.0000,1442083.0000,1437144.0000,1434259.0000,1444107.0000,1436132.0000,1441001.0000,1435271.0000,1444918.0000,1438196.0000,1438987.0000,1432845.0000,1435130.0000,1445590.0000,1436443.0000,1443436.0000,1438386.0000,1448806.0000,1441773.0000,1434920.0000,1441152.0000,1432775.0000,1440881.0000,1429760.0000,1446863.0000,1436302.0000,1446051.0000,1435170.0000,1436032.0000,1443206.0000,1432585.0000,1442104.0000,1433757.0000,1440190.0000,1430491.0000,1436553.0000,1460048.0000,1438577.0000,1441672.0000,1434729.0000,1447474.0000,1435030.0000,1441532.0000,1433567.0000,1433617.0000,1442233.0000,1441042.0000,1446732.0000,1437445.0000,1444398.0000,1438857.0000,1443156.0000,1436052.0000,1437304.0000,1444067.0000,1435050.0000,1445460.0000,1433006.0000,1441302.0000,1437094.0000,1331132.0000,1266921.0000,1263344.0000,1268674.0000,1264617.0000,1272782.0000,1266310.0000,1265288.0000,1268674.0000,1269355.0000,1264616.0000,1272011.0000,1283793.0000,1264186.0000,1263755.0000,1266911.0000,1275338.0000,1262863.0000,1266230.0000,1264777.0000,1273423.0000,1263054.0000,1270989.0000,1275307.0000,1270508.0000,1264035.0000,1266119.0000,1275167.0000,1265849.0000,1266690.0000,1267743.0000,1281319.0000,1265809.0000,1265960.0000,1273523.0000,1269827.0000,1268765.0000,1270298.0000"
generating large instruction graphs for N devices - 16,soup topology,100,1,571777200,5055081.2200,5053575.6900,5057105.6900,8825.0813,6884.9498,12614.5680,"benchmark,group:instruction-graph","5053062.0000,5047972.0000,5053363.0000,5059334.0000,5048344.0000,5051259.0000,5052522.0000,5055036.0000,5069304.0000,5056258.0000,5053162.0000,5053312.0000,5057490.0000,5046981.0000,5062901.0000,5055818.0000,5053133.0000,5044366.0000,5042954.0000,5052281.0000,5048824.0000,5050388.0000,5060276.0000,5062160.0000,5045468.0000,5059795.0000,5052281.0000,5049125.0000,5063563.0000,5054355.0000,5057752.0000,5053232.0000,5048934.0000,5053915.0000,5041009.0000,5050668.0000,5050688.0000,5038645.0000,5047973.0000,5048494.0000,5053123.0000,5065055.0000,5045097.0000,5050237.0000,5059034.0000,5048374.0000,5055407.0000,5087989.0000,5065416.0000,5055898.0000,5062200.0000,5063543.0000,5065536.0000,5053063.0000,5056128.0000,5064755.0000,5050768.0000,5054816.0000,5063272.0000,5054625.0000,5043855.0000,5045739.0000,5049826.0000,5057731.0000,5055598.0000,5047371.0000,5041771.0000,5054706.0000,5058262.0000,5053694.0000,5057010.0000,5059315.0000,5054425.0000,5048995.0000,5068542.0000,5044767.0000,5045017.0000,5059986.0000,5048103.0000,5057621.0000,5049335.0000,5049656.0000,5050248.0000,5053102.0000,5064053.0000,5100272.0000,5052953.0000,5055587.0000,5049826.0000,5055076.0000,5064605.0000,5061759.0000,5046540.0000,5055627.0000,5053483.0000,5053013.0000,5057811.0000,5060377.0000,5077849.0000,5063883.0000"
generating large instruction graphs for N devices - 16,chain topology,100,1,65468200,704099.4700,696265.0000,711296.1400,38378.7156,35705.5695,40074.6499,"benchmark,group:instruction-graph","647927.0000,657025.0000,732458.0000,734231.0000,737487.0000,728460.0000,736224.0000,737056.0000,736835.0000,726687.0000,733028.0000,733659.0000,737277.0000,726807.0000,737357.0000,739470.0000,737386.0000,730233.0000,737627.0000,736195.0000,725975.0000,735202.0000,735513.0000,734912.0000,729302.0000,733188.0000,733840.0000,735944.0000,729612.0000,736325.0000,736204.0000,731926.0000,726787.0000,734782.0000,735483.0000,725003.0000,733579.0000,736034.0000,750441.0000,726356.0000,733520.0000,738849.0000,736986.0000,724523.0000,736786.0000,732838.0000,732928.0000,729702.0000,733198.0000,733519.0000,722729.0000,736836.0000,735964.0000,734982.0000,727217.0000,732057.0000,735383.0000,733880.0000,726486.0000,734712.0000,736515.0000,730323.0000,726877.0000,736455.0000,729512.0000,650652.0000,657576.0000,657084.0000,648919.0000,656813.0000,659599.0000,648147.0000,657926.0000,655361.0000,649380.0000,661603.0000,659379.0000,648719.0000,655371.0000,656684.0000,647917.0000,654650.0000,647967.0000,656954.0000,657916.0000,648117.0000,658868.0000,659910.0000,647046.0000,656403.0000,656002.0000,647426.0000,656744.0000,656804.0000,650572.0000,659369.0000,655902.0000,647256.0000,655572.0000,662725.0000"
generating large instruction graphs for N devices - 16,expanding tree topology,100,1,99856200,1001005.2600,991324.4200,1010501.8700,48564.0442,47427.2137,49431.5211,"benchmark,group:instruction-graph","947896.0000,948387.0000,1055941.0000,1046784.0000,1050330.0000,1046273.0000,1047956.0000,1047334.0000,1045741.0000,1045542.0000,1047164.0000,1047435.0000,1047215.0000,1045721.0000,1045972.0000,1042034.0000,1044860.0000,1048758.0000,1044880.0000,1047665.0000,1043518.0000,1043788.0000,1047024.0000,1046253.0000,1043387.0000,1047325.0000,1044620.0000,1044208.0000,1043737.0000,1046032.0000,1046944.0000,1044810.0000,1046092.0000,1043748.0000,1044830.0000,1041364.0000,1044349.0000,1042195.0000,1042696.0000,1052083.0000,1042866.0000,1044780.0000,1046292.0000,1046543.0000,1043547.0000,1043627.0000,1046453.0000,1044951.0000,1046032.0000,1046753.0000,1045331.0000,1045210.0000,1043116.0000,1047285.0000,1043918.0000,1044880.0000,970670.0000,951332.0000,946313.0000,948176.0000,944821.0000,949439.0000,948938.0000,950281.0000,952655.0000,948547.0000,946895.0000,948417.0000,959468.0000,946864.0000,946003.0000,938218.0000,945241.0000,946824.0000,948527.0000,950431.0000,950191.0000,947635.0000,948156.0000,948808.0000,948537.0000,948407.0000,947685.0000,948587.0000,949780.0000,948086.0000,953096.0000,948067.0000,944329.0000,946684.0000,941564.0000,946774.0000,948497.0000,947225.0000,944229.0000,950140.0000,947405.0000,944169.0000,951583.0000,948357.0000"
generating large instruction graphs for N devices - 16,contracting tree topology,100,1,104668700,1164233.3500,1163549.5700,1165191.3900,4082.2840,3163.1840,6279.3003,"benchmark,group:instruction-graph","1162353.0000,1161852.0000,1175618.0000,1165720.0000,1164717.0000,1164247.0000,1163605.0000,1167282.0000,1165448.0000,1162173.0000,1164958.0000,1165128.0000,1161101.0000,1163996.0000,1170458.0000,1160680.0000,1162283.0000,1162904.0000,1164537.0000,1162353.0000,1167142.0000,1162523.0000,1165989.0000,1161452.0000,1162563.0000,1163114.0000,1171700.0000,1161361.0000,1162834.0000,1165890.0000,1163635.0000,1164437.0000,1166972.0000,1161481.0000,1163916.0000,1160079.0000,1162904.0000,1160459.0000,1170819.0000,1163395.0000,1163034.0000,1163535.0000,1165909.0000,1160459.0000,1172221.0000,1162242.0000,1165459.0000,1165779.0000,1164757.0000,1165880.0000,1170087.0000,1161851.0000,1162242.0000,1164848.0000,1162143.0000,1163785.0000,1187411.0000,1162132.0000,1161391.0000,1160409.0000,1159437.0000,1163846.0000,1170799.0000,1164527.0000,1162053.0000,1163605.0000,1161682.0000,1160760.0000,1171861.0000,1157864.0000,1160319.0000,1158556.0000,1163155.0000,1161841.0000,1168554.0000,1164887.0000,1162513.0000,1162613.0000,1163024.0000,1162844.0000,1172011.0000,1162723.0000,1162954.0000,1161772.0000,1158746.0000,1161632.0000,1163535.0000,1169416.0000,1159958.0000,1164367.0000,1162383.0000,1165328.0000,1163935.0000,1168173.0000,1159908.0000,1162503.0000,1160339.0000,1161491.0000,1166520.0000,1171249.0000"
generating large instruction graphs for N devices - 16,wave_sim topology,100,1,498903400,4909933.6800,4853813.9000,4965781.8400,284859.6099,279927.1647,288600.9789,"benchmark,group:instruction-graph","5190563.0000,5203157.0000,4632074.0000,4607537.0000,4619239.0000,4613589.0000,4606225.0000,4614230.0000,4610623.0000,4621184.0000,4608539.0000,4612507.0000,4615993.0000,4607438.0000,4622195.0000,4614571.0000,4611876.0000,4610984.0000,4596447.0000,4620712.0000,4626404.0000,4612797.0000,4615082.0000,4611626.0000,4629188.0000,4619771.0000,4619661.0000,4620001.0000,4622105.0000,4620973.0000,4636762.0000,4622536.0000,4617406.0000,4619991.0000,4614110.0000,4612417.0000,4615954.0000,4618438.0000,4628237.0000,4647613.0000,4617055.0000,4617938.0000,4610122.0000,4611555.0000,4602768.0000,4616184.0000,4622586.0000,4613239.0000,4791045.0000,5205722.0000,5199961.0000,5205321.0000,5200452.0000,5201063.0000,5198018.0000,5184261.0000,5188370.0000,5178851.0000,5182338.0000,5187517.0000,5182397.0000,5201433.0000,5215561.0000,5191505.0000,5193930.0000,5190453.0000,5208528.0000,5188389.0000,5186195.0000,5182709.0000,5186485.0000,5192326.0000,5197968.0000,5185864.0000,5179171.0000,5168180.0000,5192637.0000,5200863.0000,5202496.0000,5186516.0000,5185724.0000,5208838.0000,5197006.0000,5193269.0000,5216031.0000,5181065.0000,5177348.0000,5180313.0000,5187297.0000,5190914.0000,5137433.0000,4613849.0000,4610403.0000,5034728.0000,5196284.0000,5192877.0000,5181786.0000,5195603.0000,5187127.0000,5186746.0000"
generating large instruction graphs for N devices - 16,jacobi topology,100,1,148382700,1483509.8900,1482507.3500,1484631.2500,5404.2844,4713.1929,6749.1582,"benchmark,group:instruction-graph","1474164.0000,1484174.0000,1493451.0000,1495344.0000,1479734.0000,1486006.0000,1480656.0000,1479585.0000,1487279.0000,1478974.0000,1481077.0000,1481739.0000,1486808.0000,1478613.0000,1481228.0000,1480847.0000,1487209.0000,1478723.0000,1486949.0000,1483532.0000,1487980.0000,1479524.0000,1487319.0000,1481297.0000,1489925.0000,1480476.0000,1487109.0000,1477541.0000,1488261.0000,1483121.0000,1486999.0000,1475146.0000,1485245.0000,1479213.0000,1482059.0000,1480576.0000,1489783.0000,1479675.0000,1481238.0000,1483883.0000,1473573.0000,1489033.0000,1479915.0000,1504562.0000,1479284.0000,1484324.0000,1483542.0000,1485807.0000,1476979.0000,1482921.0000,1479605.0000,1494834.0000,1490134.0000,1495174.0000,1487539.0000,1492139.0000,1476799.0000,1489153.0000,1479104.0000,1486457.0000,1480055.0000,1491748.0000,1481488.0000,1488341.0000,1476489.0000,1489624.0000,1481628.0000,1486859.0000,1480877.0000,1482490.0000,1479284.0000,1474465.0000,1482731.0000,1480256.0000,1484674.0000,1480787.0000,1492339.0000,1480135.0000,1489673.0000,1475287.0000,1487189.0000,1476278.0000,1487950.0000,1479034.0000,1481408.0000,1479023.0000,1483783.0000,1480256.0000,1487299.0000,1476900.0000,1486918.0000,1479114.0000,1485987.0000,1475186.0000,1483512.0000,1478403.0000,1484343.0000,1483582.0000,1483702.0000,1488552.0000"
generating large instruction graphs for N devices without d2d copy support - 1,soup topology,100,1,544847900,5589238.6100,5535712.1900,5629610.4000,235003.9023,190334.5530,275783.4805,"benchmark,group:instruction-graph","5037423.0000,5040459.0000,5729806.0000,5697024.0000,5683749.0000,5694119.0000,5695861.0000,5702845.0000,5679901.0000,5693838.0000,5698637.0000,5701763.0000,5700931.0000,5681455.0000,5719166.0000,5697034.0000,5681965.0000,5692596.0000,5708265.0000,5691964.0000,5688628.0000,5692856.0000,5702915.0000,5697645.0000,5719847.0000,5117204.0000,5034216.0000,5040128.0000,5039647.0000,5042843.0000,5024939.0000,5424968.0000,5694129.0000,5701062.0000,5700500.0000,5685523.0000,5688928.0000,5701984.0000,5701462.0000,5691855.0000,5690972.0000,5689921.0000,5701402.0000,5715269.0000,5696693.0000,5688998.0000,5696824.0000,5699489.0000,5702594.0000,5693216.0000,5697385.0000,5701252.0000,5679451.0000,5688959.0000,5701262.0000,5687276.0000,5697314.0000,5688328.0000,5689119.0000,5694679.0000,5705029.0000,5700350.0000,5683719.0000,5694940.0000,5678740.0000,5690000.0000,5685962.0000,5691413.0000,5674391.0000,5689049.0000,5675363.0000,5092488.0000,5224357.0000,5684761.0000,5692826.0000,5680613.0000,5702825.0000,5690592.0000,5721741.0000,5693497.0000,5688317.0000,5692035.0000,5688728.0000,5683899.0000,5686945.0000,5688729.0000,5692685.0000,5682005.0000,5695251.0000,5701953.0000,5688979.0000,5683258.0000,5692245.0000,5673590.0000,5041010.0000,5031321.0000,5044196.0000,5026031.0000,5035990.0000,5033555.0000"
generating large instruction graphs for N devices without d2d copy support - 1,chain topology,100,1,64934300,724446.5600,723556.7200,725344.6800,4561.5110,3939.8833,5792.7140,"benchmark,group:instruction-graph","726396.0000,726897.0000,736395.0000,727839.0000,720194.0000,742587.0000,728199.0000,725124.0000,718571.0000,729321.0000,728570.0000,720254.0000,725845.0000,725033.0000,726676.0000,716467.0000,723761.0000,725835.0000,728180.0000,719092.0000,727818.0000,728129.0000,717088.0000,724803.0000,729041.0000,729111.0000,716207.0000,730704.0000,726967.0000,717409.0000,725344.0000,724413.0000,729291.0000,717449.0000,725484.0000,727157.0000,726766.0000,721025.0000,727027.0000,727979.0000,717489.0000,725995.0000,728250.0000,727939.0000,719042.0000,725384.0000,729532.0000,728259.0000,719001.0000,726937.0000,725183.0000,717970.0000,723982.0000,726235.0000,728199.0000,720264.0000,724342.0000,725203.0000,725865.0000,720694.0000,726906.0000,726416.0000,716918.0000,724933.0000,724893.0000,724913.0000,713913.0000,725384.0000,725694.0000,720434.0000,725324.0000,726436.0000,725034.0000,716788.0000,721887.0000,725565.0000,721977.0000,717319.0000,723921.0000,725615.0000,717459.0000,724563.0000,725043.0000,727227.0000,719372.0000,726527.0000,729451.0000,719362.0000,727598.0000,726356.0000,726997.0000,718611.0000,725444.0000,726296.0000,724242.0000,715124.0000,727278.0000,724402.0000,718672.0000,728149.0000"
generating large instruction graphs for N devices without d2d copy support - 1,expanding tree topology,100,1,97325200,940642.1200,940041.9500,941219.2900,3012.1436,2531.4934,3700.7350,"benchmark,group:instruction-graph","941934.0000,941453.0000,945652.0000,939159.0000,942195.0000,943688.0000,939209.0000,945180.0000,939430.0000,941554.0000,942766.0000,937887.0000,940632.0000,939490.0000,933499.0000,938478.0000,944299.0000,939841.0000,940101.0000,941574.0000,939230.0000,940071.0000,941273.0000,940703.0000,946212.0000,942245.0000,939290.0000,936234.0000,937687.0000,939340.0000,935172.0000,937246.0000,939119.0000,940421.0000,940522.0000,950912.0000,942666.0000,940542.0000,940893.0000,942265.0000,941594.0000,945231.0000,943468.0000,936905.0000,939110.0000,940472.0000,940592.0000,932998.0000,937647.0000,943588.0000,943628.0000,941784.0000,943808.0000,942265.0000,939741.0000,942706.0000,939020.0000,939981.0000,945061.0000,942165.0000,941965.0000,938889.0000,938979.0000,943578.0000,933359.0000,937406.0000,942456.0000,941384.0000,938518.0000,941634.0000,941574.0000,940151.0000,941023.0000,942596.0000,942486.0000,946093.0000,939139.0000,939580.0000,942676.0000,941443.0000,942266.0000,930994.0000,938508.0000,939821.0000,942586.0000,941825.0000,940492.0000,943167.0000,940933.0000,940041.0000,942545.0000,939650.0000,944400.0000,941353.0000,938257.0000,942766.0000,939530.0000,936264.0000,933149.0000,938908.0000"
generating large instruction graphs for N devices without d2d copy support - 1,contracting tree topology,100,1,115391800,1040310.9700,1039718.3300,1041124.4800,3522.6652,2727.3223,4859.4316,"benchmark,group:instruction-graph","1040291.0000,1037927.0000,1044258.0000,1040241.0000,1038408.0000,1037706.0000,1039870.0000,1036284.0000,1039410.0000,1038899.0000,1038858.0000,1039190.0000,1040451.0000,1056653.0000,1041373.0000,1038026.0000,1055450.0000,1040381.0000,1038888.0000,1047856.0000,1038047.0000,1041865.0000,1041373.0000,1035673.0000,1036444.0000,1039941.0000,1040652.0000,1041373.0000,1037656.0000,1042626.0000,1039930.0000,1037315.0000,1035042.0000,1041874.0000,1036213.0000,1041313.0000,1039179.0000,1048847.0000,1037886.0000,1039289.0000,1040071.0000,1038708.0000,1041924.0000,1037296.0000,1043447.0000,1040482.0000,1038829.0000,1043567.0000,1040862.0000,1038588.0000,1040702.0000,1037736.0000,1040241.0000,1037816.0000,1035753.0000,1036554.0000,1039140.0000,1036394.0000,1042876.0000,1037416.0000,1038929.0000,1042005.0000,1041614.0000,1047475.0000,1038157.0000,1044139.0000,1038308.0000,1040211.0000,1037977.0000,1038137.0000,1039480.0000,1038528.0000,1041604.0000,1041424.0000,1038117.0000,1039230.0000,1040181.0000,1035973.0000,1038518.0000,1039370.0000,1047084.0000,1041213.0000,1041203.0000,1041654.0000,1042916.0000,1043538.0000,1037275.0000,1047785.0000,1043177.0000,1038338.0000,1041614.0000,1036694.0000,1037355.0000,1040401.0000,1038558.0000,1040201.0000,1041633.0000,1040942.0000,1041263.0000,1037516.0000"
generating large instruction graphs for N devices without d2d copy support - 1,wave_sim topology,100,1,455469800,4808305.9400,4753521.6600,4862669.6600,276756.3609,273000.1925,280016.4386,"benchmark,group:instruction-graph","5084592.0000,5077940.0000,5113668.0000,5096535.0000,5104500.0000,5091956.0000,5103679.0000,5089722.0000,5089322.0000,5085343.0000,4531914.0000,4536152.0000,4572651.0000,4542645.0000,4530371.0000,4531133.0000,4551762.0000,4535080.0000,4538466.0000,4544247.0000,4544167.0000,4534359.0000,4538867.0000,4519189.0000,4547363.0000,4531754.0000,4543827.0000,4543195.0000,4536633.0000,4537966.0000,4530191.0000,4538156.0000,4526003.0000,4532074.0000,4531934.0000,4536001.0000,4537355.0000,4530842.0000,4539028.0000,4533166.0000,4531794.0000,4568674.0000,4539949.0000,4537444.0000,4536493.0000,4523488.0000,4546502.0000,4527596.0000,4539999.0000,4524429.0000,4535612.0000,4527726.0000,4549587.0000,4514751.0000,4543526.0000,4551171.0000,4536843.0000,4549767.0000,4531934.0000,4544147.0000,4530341.0000,4944868.0000,5099951.0000,5117846.0000,5099741.0000,5112114.0000,5106454.0000,5100091.0000,5105532.0000,5099600.0000,5091475.0000,5097948.0000,5082248.0000,5094922.0000,5087227.0000,5104980.0000,5090223.0000,5098528.0000,5097327.0000,5099781.0000,5093349.0000,5091907.0000,5109189.0000,5103348.0000,5108618.0000,5096325.0000,5074894.0000,5084802.0000,5086586.0000,5075014.0000,5086266.0000,5088930.0000,5069934.0000,5088590.0000,5084342.0000,5087839.0000,5075405.0000,5081176.0000,5081747.0000,5075956.0000"
generating large instruction graphs for N devices without d2d copy support - 1,jacobi topology,100,1,136100700,1409631.5300,1396970.9700,1418778.0600,54051.8275,41873.6610,65812.5561,"benchmark,group:instruction-graph","1437895.0000,1428478.0000,1442995.0000,1430190.0000,1334890.0000,1271069.0000,1259217.0000,1258715.0000,1257754.0000,1264126.0000,1308861.0000,1428027.0000,1432816.0000,1426113.0000,1433307.0000,1423478.0000,1434178.0000,1429249.0000,1425893.0000,1452363.0000,1431353.0000,1436011.0000,1426815.0000,1434980.0000,1426885.0000,1428688.0000,1434609.0000,1424469.0000,1432264.0000,1426483.0000,1434129.0000,1428287.0000,1424029.0000,1434008.0000,1426243.0000,1436884.0000,1424059.0000,1433537.0000,1424129.0000,1425232.0000,1434449.0000,1427395.0000,1434539.0000,1426674.0000,1431584.0000,1427716.0000,1438897.0000,1435511.0000,1424389.0000,1438827.0000,1425943.0000,1433287.0000,1427786.0000,1426514.0000,1427786.0000,1425321.0000,1434558.0000,1368814.0000,1260479.0000,1269106.0000,1260328.0000,1257152.0000,1256210.0000,1292891.0000,1428938.0000,1434048.0000,1430331.0000,1425723.0000,1432755.0000,1428147.0000,1433807.0000,1427306.0000,1438316.0000,1428588.0000,1421274.0000,1432916.0000,1424080.0000,1436933.0000,1425021.0000,1435861.0000,1430832.0000,1428868.0000,1435571.0000,1426995.0000,1432956.0000,1421554.0000,1433898.0000,1423929.0000,1423719.0000,1451461.0000,1427235.0000,1437474.0000,1426393.0000,1439478.0000,1429279.0000,1423679.0000,1434840.0000,1429780.0000,1436312.0000,1425992.0000"
generating large instruction graphs for N devices without d2d copy support - 4,soup topology,100,1,566585400,5653916.1100,5617010.0400,5677495.5300,148008.3707,103342.6455,199665.1970,"benchmark,group:instruction-graph","5709939.0000,5728524.0000,5708976.0000,5699919.0000,5707644.0000,5664483.0000,5047462.0000,5430398.0000,5695341.0000,5702635.0000,5707183.0000,5138334.0000,5247340.0000,5727010.0000,5697875.0000,5693678.0000,5697104.0000,5709267.0000,5709277.0000,5705360.0000,5703045.0000,5698487.0000,5698567.0000,5701743.0000,5707534.0000,5693227.0000,5707904.0000,5697013.0000,5707804.0000,5705420.0000,5701983.0000,5725878.0000,5690722.0000,5695662.0000,5689760.0000,5683749.0000,5694449.0000,5699980.0000,5696323.0000,5706912.0000,5705459.0000,5701462.0000,5689981.0000,5696683.0000,5702454.0000,5689840.0000,5709668.0000,5583549.0000,5054004.0000,5478450.0000,5709107.0000,5696763.0000,5702574.0000,5699248.0000,5710159.0000,5703757.0000,5702735.0000,5694760.0000,5692034.0000,5694929.0000,5714687.0000,5700621.0000,5703496.0000,5707914.0000,5699419.0000,5698667.0000,5711862.0000,5706753.0000,5704989.0000,5699408.0000,5692375.0000,5698577.0000,5700280.0000,5697265.0000,5706602.0000,5692565.0000,5699448.0000,5707865.0000,5689660.0000,5695761.0000,5712974.0000,5708736.0000,5692135.0000,5721180.0000,5341890.0000,5173151.0000,5704778.0000,5709457.0000,5697415.0000,5693197.0000,5701953.0000,5712443.0000,5693417.0000,5710630.0000,5720919.0000,5600401.0000,5050347.0000,5458612.0000,5705480.0000,5702755.0000"
generating large instruction graphs for N devices without d2d copy support - 4,chain topology,100,1,71869800,716114.9900,710100.4600,720495.8600,25870.7780,20059.1789,31571.6976,"benchmark,group:instruction-graph","745442.0000,720304.0000,731235.0000,727498.0000,728620.0000,730694.0000,718270.0000,728780.0000,726135.0000,740953.0000,643569.0000,651183.0000,648038.0000,644951.0000,652786.0000,641074.0000,649961.0000,650352.0000,640884.0000,650231.0000,652075.0000,643289.0000,709794.0000,729552.0000,718732.0000,727508.0000,727378.0000,726506.0000,717469.0000,725925.0000,725765.0000,728540.0000,718531.0000,728390.0000,725254.0000,719272.0000,726355.0000,727287.0000,728099.0000,718290.0000,728089.0000,728389.0000,727178.0000,717930.0000,725574.0000,728580.0000,719223.0000,725224.0000,725564.0000,723841.0000,718942.0000,727238.0000,729572.0000,728961.0000,721797.0000,728380.0000,732537.0000,720614.0000,726115.0000,730494.0000,728870.0000,718571.0000,728490.0000,728189.0000,725635.0000,722258.0000,727127.0000,730254.0000,717930.0000,727999.0000,727518.0000,727177.0000,720485.0000,725464.0000,724662.0000,718581.0000,727538.0000,728299.0000,726066.0000,718821.0000,727999.0000,726787.0000,726035.0000,720245.0000,728770.0000,725194.0000,715475.0000,724152.0000,726807.0000,727498.0000,722899.0000,724552.0000,726196.0000,728470.0000,718220.0000,728180.0000,728139.0000,720224.0000,727028.0000,729482.0000"
generating large instruction graphs for N devices without d2d copy support - 4,expanding tree topology,100,1,103174700,1028893.2000,1022075.1200,1033458.3400,27990.8658,19960.6753,35898.1798,"benchmark,group:instruction-graph","1034871.0000,1039750.0000,1048326.0000,1041634.0000,1042035.0000,1034981.0000,1038318.0000,1043387.0000,1038288.0000,1035121.0000,1034720.0000,1033950.0000,1035652.0000,1034150.0000,1033178.0000,1035232.0000,1037506.0000,1035863.0000,1043337.0000,1037406.0000,1037546.0000,1035652.0000,1037626.0000,1041814.0000,1037276.0000,1038107.0000,1037426.0000,1038297.0000,1037495.0000,1040131.0000,1041603.0000,1038578.0000,1034390.0000,1032877.0000,952014.0000,942316.0000,940592.0000,942676.0000,942535.0000,935212.0000,930222.0000,939370.0000,941224.0000,1024251.0000,1036744.0000,1036875.0000,1041694.0000,1037056.0000,1037075.0000,1036173.0000,1037395.0000,1041744.0000,1038658.0000,1033358.0000,1036023.0000,1032115.0000,1038878.0000,1040722.0000,1040962.0000,1038318.0000,1041604.0000,1040572.0000,1038027.0000,1037376.0000,1036544.0000,1036554.0000,1040141.0000,1034460.0000,1036835.0000,1036735.0000,1037165.0000,1032968.0000,1033769.0000,1042916.0000,1052044.0000,1035943.0000,1037817.0000,1040341.0000,1040953.0000,1034360.0000,1036965.0000,1037606.0000,1037926.0000,1037325.0000,1038358.0000,1036504.0000,1035573.0000,1037766.0000,1035301.0000,1038026.0000,1037275.0000,1039199.0000,1036975.0000,1032627.0000,1037035.0000,1038568.0000,1033639.0000,1036805.0000,1035352.0000,1042646.0000"
generating large instruction graphs for N devices without d2d copy support - 4,contracting tree topology,100,1,115671700,1148373.5500,1140635.6800,1153213.9900,30700.1530,21340.8631,40762.1296,"benchmark,group:instruction-graph","1155339.0000,1151412.0000,1166931.0000,1161471.0000,1152564.0000,1155059.0000,1154478.0000,1158616.0000,1156492.0000,1161852.0000,1159828.0000,1045552.0000,1040802.0000,1037807.0000,1041884.0000,1040051.0000,1037817.0000,1036965.0000,1094625.0000,1170919.0000,1154839.0000,1161551.0000,1153686.0000,1154357.0000,1154408.0000,1154158.0000,1155760.0000,1159037.0000,1162994.0000,1158796.0000,1157834.0000,1154998.0000,1157012.0000,1155920.0000,1163435.0000,1153767.0000,1156311.0000,1154679.0000,1154929.0000,1153897.0000,1163875.0000,1154228.0000,1155960.0000,1154578.0000,1156852.0000,1157233.0000,1151853.0000,1160429.0000,1156342.0000,1153165.0000,1154238.0000,1153766.0000,1155349.0000,1162082.0000,1187630.0000,1159006.0000,1156702.0000,1155540.0000,1154488.0000,1164096.0000,1157854.0000,1154528.0000,1157584.0000,1155961.0000,1155189.0000,1157664.0000,1160249.0000,1155290.0000,1151883.0000,1156131.0000,1154769.0000,1155119.0000,1160720.0000,1155670.0000,1151282.0000,1153175.0000,1155139.0000,1155570.0000,1162353.0000,1157624.0000,1152835.0000,1154909.0000,1158345.0000,1154288.0000,1159106.0000,1162543.0000,1152193.0000,1157613.0000,1156682.0000,1154147.0000,1152224.0000,1160890.0000,1153697.0000,1156521.0000,1153746.0000,1158025.0000,1157884.0000,1155640.0000,1164446.0000,1157623.0000"
generating large instruction graphs for N devices without d2d copy support - 4,wave_sim topology,100,1,500987000,5065477.6100,5030928.5600,5087107.6900,136888.3710,94397.0892,183046.2675,"benchmark,group:instruction-graph","5103528.0000,5094531.0000,5127774.0000,5097387.0000,5104550.0000,5103509.0000,5117094.0000,5106293.0000,5110893.0000,5104460.0000,5106724.0000,5114429.0000,5002146.0000,4543256.0000,4845368.0000,5126151.0000,5122053.0000,5093099.0000,5098228.0000,5104400.0000,5118838.0000,5108938.0000,5106254.0000,5093880.0000,5099260.0000,5103619.0000,5106113.0000,5103198.0000,5171226.0000,5103598.0000,5097356.0000,5103177.0000,5096656.0000,5111703.0000,5111964.0000,5110001.0000,5125449.0000,5117164.0000,5101895.0000,5092878.0000,5107426.0000,5115110.0000,5116443.0000,5107977.0000,5099390.0000,5104990.0000,5130900.0000,5134277.0000,5104590.0000,5114239.0000,5118616.0000,5109890.0000,5107947.0000,4932273.0000,4556731.0000,4896906.0000,5118296.0000,5112696.0000,5107997.0000,5117535.0000,5108037.0000,5108016.0000,5104259.0000,5113287.0000,5108237.0000,5098138.0000,5100553.0000,5122975.0000,5122144.0000,5111032.0000,5101474.0000,5105863.0000,5100082.0000,5098027.0000,5103648.0000,5094441.0000,5098890.0000,5089962.0000,5096394.0000,5102887.0000,5101404.0000,5107385.0000,5100983.0000,5112926.0000,5112976.0000,5104059.0000,5121883.0000,5112836.0000,5112676.0000,5104320.0000,5110852.0000,5105793.0000,5107806.0000,5095533.0000,4876488.0000,4543336.0000,4553585.0000,4544638.0000,4590515.0000,5116152.0000"
