test case,benchmark name,samples,iterations,estimated,mean,low mean,high mean,std dev,low std dev,high std dev,tags,raw
benchmark intrusive graph dependency handling with N nodes - 100,adding and removing dependencies,100,7,2721600,3836.6400,3824.2400,3866.4729,98.1845,53.0605,158.6291,"benchmark,group:graph-nodes","3808.4286,3812.5714,3868.4286,3834.1429,3818.4286,4348.0000,3817.0000,3827.0000,3824.1429,3829.7143,3821.1429,3817.0000,3818.4286,3822.7143,3819.8571,3819.7143,3819.8571,3824.1429,3825.5714,3819.8571,3822.7143,3822.7143,3822.5714,3828.4286,3821.2857,3822.7143,3822.7143,3818.4286,3824.1429,3821.1429,3825.5714,3829.8571,3821.2857,3819.8571,3824.1429,3819.8571,3822.5714,3822.5714,3821.2857,3829.8571,3818.4286,3819.8571,4405.1429,3822.7143,3824.1429,3825.5714,3821.2857,3819.8571,3818.2857,3825.4286,3824.1429,3828.4286,3821.2857,3819.8571,3822.7143,3819.8571,3818.2857,3818.4286,3821.2857,3827.0000,3819.8571,3822.7143,3822.5714,3815.5714,3819.8571,3818.4286,3824.1429,3819.7143,3818.2857,3812.7143,3808.4286,3821.2857,3821.1429,3815.5714,3812.7143,3808.4286,3811.1429,3811.2857,3809.8571,4423.7143,3809.7143,3811.2857,3824.1429,3817.0000,3816.8571,3811.2857,3809.8571,3812.5714,3809.8571,3819.8571,3809.8571,3805.4286,3822.7143,3809.8571,3805.4286,3805.4286,3811.2857,3812.7143,3809.7143,3809.8571"
benchmark intrusive graph dependency handling with N nodes - 100,checking for dependencies,100,13,2540200,1903.9923,1896.3308,1923.1731,54.0795,2.9659,98.7764,"benchmark,group:graph-nodes","1890.3846,1891.9231,1913.5385,1904.2308,1899.6154,1899.6154,1897.2308,1901.0769,1899.6154,1895.7692,1898.0769,1897.3077,1896.5385,1895.7692,1896.5385,1899.6154,1897.2308,1896.5385,1898.8462,1901.1538,1900.3846,1895.7692,1895.7692,1899.6154,1896.5385,1891.8462,1894.1538,1895.0000,1895.7692,1897.3077,1897.3077,1895.0000,1895.6923,1895.7692,2272.6154,1897.3077,1895.7692,1898.0769,1898.0769,1897.3077,1896.5385,1897.3077,1896.4615,1895.0000,1895.0000,1897.3077,1895.0000,1897.3077,1895.0000,1898.7692,1897.2308,1895.0000,1896.5385,1895.7692,1894.2308,1901.9231,1897.3077,1893.3846,1896.5385,1896.5385,1895.7692,1896.5385,1895.7692,1895.0000,1896.4615,1896.5385,1896.5385,1896.5385,1896.5385,1897.3077,1897.3077,1896.5385,1895.6923,1896.4615,1897.3077,2291.1538,1895.0000,1891.8462,1894.9231,1894.2308,1896.5385,1895.0000,1893.4615,1892.6154,1891.1538,1891.1538,1890.3846,1895.6923,1893.4615,1898.0769,1892.6923,1894.2308,1895.7692,1894.9231,1895.0000,1894.2308,1893.4615,1896.5385,1893.3846,1894.1538"
benchmark task handling,generating and deleting tasks,100,1,341431900,3569816.2800,3518370.8700,3629835.0400,282947.8111,248570.7246,309078.3142,"benchmark,group:task-graph","3415988.0000,3404987.0000,4066021.0000,4040272.0000,4043447.0000,4034792.0000,4043968.0000,4041114.0000,4037005.0000,4040482.0000,4038549.0000,4047024.0000,4055350.0000,4079756.0000,4059919.0000,4063346.0000,4064898.0000,4072072.0000,4064417.0000,4049770.0000,4074617.0000,4060801.0000,4050962.0000,4045201.0000,4056292.0000,4048247.0000,4047044.0000,3867464.0000,3394978.0000,3408583.0000,3411259.0000,3385710.0000,3403924.0000,3393615.0000,3394286.0000,3387844.0000,3384338.0000,3402572.0000,3385980.0000,3397102.0000,3405568.0000,3389908.0000,3394136.0000,3395248.0000,3405748.0000,3392764.0000,3403193.0000,3407792.0000,3404756.0000,3401280.0000,3418131.0000,3400818.0000,3410237.0000,3406289.0000,3399727.0000,3401580.0000,3387223.0000,3398905.0000,3394256.0000,3392113.0000,3394807.0000,3392513.0000,3402472.0000,3403504.0000,3395699.0000,3406650.0000,3397833.0000,3403153.0000,3388826.0000,3416378.0000,3405007.0000,3392332.0000,3405377.0000,3396591.0000,3399997.0000,3396360.0000,3399216.0000,3416959.0000,3399997.0000,3406941.0000,3404896.0000,3413663.0000,3418032.0000,3422029.0000,3412240.0000,3402702.0000,3399025.0000,3407051.0000,3403664.0000,3400578.0000,3390700.0000,3417730.0000,3414926.0000,3411519.0000,3416448.0000,3414124.0000,3420346.0000,3401250.0000,3401750.0000,3414675.0000"
generating large task graphs,soup topology,100,1,69645800,780558.2600,767414.3900,792597.1800,63787.5847,59059.8707,66303.4257,"benchmark,group:task-graph","697320.0000,691370.0000,833680.0000,829451.0000,830042.0000,822598.0000,830002.0000,829210.0000,829000.0000,829963.0000,828950.0000,824632.0000,827278.0000,828690.0000,829641.0000,830934.0000,830253.0000,824381.0000,829812.0000,829742.0000,827327.0000,828019.0000,831695.0000,824732.0000,828059.0000,827698.0000,829201.0000,828079.0000,828359.0000,823390.0000,828860.0000,829020.0000,827438.0000,828319.0000,829211.0000,824753.0000,828660.0000,827087.0000,830924.0000,830142.0000,823550.0000,828489.0000,832828.0000,832177.0000,831826.0000,831605.0000,825965.0000,830063.0000,829992.0000,830043.0000,830162.0000,831475.0000,824873.0000,830263.0000,830443.0000,831014.0000,830233.0000,831005.0000,827227.0000,831555.0000,830974.0000,830774.0000,831806.0000,831214.0000,827328.0000,779967.0000,700106.0000,699475.0000,692641.0000,697532.0000,697381.0000,692692.0000,697451.0000,697411.0000,692311.0000,697922.0000,701949.0000,696980.0000,691489.0000,697832.0000,696540.0000,691609.0000,695457.0000,697160.0000,691370.0000,695577.0000,695969.0000,697180.0000,694916.0000,696610.0000,696219.0000,691740.0000,696619.0000,696069.0000,691460.0000,696819.0000,696960.0000,690918.0000,696560.0000,702129.0000"
generating large task graphs,chain topology,100,1,2626700,26422.9900,26300.7200,26667.8700,848.4579,485.7498,1331.6717,"benchmark,group:task-graph","30616.0000,26038.0000,28502.0000,26559.0000,26288.0000,26538.0000,26358.0000,26248.0000,26278.0000,26278.0000,26228.0000,26298.0000,26178.0000,26157.0000,26248.0000,26278.0000,26258.0000,26268.0000,26238.0000,26248.0000,26258.0000,26368.0000,26258.0000,26318.0000,31277.0000,26278.0000,26128.0000,26288.0000,26248.0000,26328.0000,26268.0000,26388.0000,26178.0000,26258.0000,26227.0000,26067.0000,26088.0000,26167.0000,26308.0000,26268.0000,26188.0000,26288.0000,26208.0000,26348.0000,26198.0000,26288.0000,26177.0000,26228.0000,26288.0000,26238.0000,26218.0000,26268.0000,26328.0000,26338.0000,26228.0000,26318.0000,26378.0000,26248.0000,26268.0000,26338.0000,26258.0000,26368.0000,31007.0000,26378.0000,26078.0000,26187.0000,26178.0000,26288.0000,26198.0000,26288.0000,26188.0000,26207.0000,26178.0000,26308.0000,26108.0000,26198.0000,26187.0000,26248.0000,26178.0000,26108.0000,26238.0000,26197.0000,26138.0000,26298.0000,26198.0000,26318.0000,26138.0000,26267.0000,26267.0000,26278.0000,26449.0000,26227.0000,26177.0000,26188.0000,26168.0000,27710.0000,26257.0000,26048.0000,25997.0000,26158.0000"
generating large task graphs,expanding tree topology,100,1,5266600,47322.2100,47108.1700,47733.5100,1457.5205,885.1630,2242.4877,"benchmark,group:task-graph","47027.0000,47028.0000,55954.0000,47468.0000,47017.0000,47058.0000,47027.0000,46737.0000,47097.0000,47048.0000,47057.0000,47077.0000,47077.0000,46827.0000,47097.0000,47068.0000,46937.0000,47047.0000,47048.0000,46646.0000,47148.0000,47047.0000,46987.0000,52788.0000,47127.0000,46887.0000,47198.0000,47348.0000,46967.0000,47047.0000,47098.0000,46877.0000,47137.0000,47308.0000,46987.0000,46977.0000,46836.0000,46918.0000,46927.0000,47267.0000,46968.0000,47017.0000,47037.0000,46777.0000,54311.0000,47969.0000,46978.0000,47157.0000,47068.0000,46857.0000,47097.0000,47208.0000,46957.0000,47107.0000,46817.0000,46707.0000,46637.0000,47097.0000,46727.0000,46977.0000,47117.0000,46977.0000,47237.0000,47138.0000,47148.0000,51736.0000,46957.0000,46827.0000,47288.0000,47047.0000,47148.0000,46907.0000,46997.0000,46757.0000,47097.0000,47038.0000,47087.0000,46897.0000,46777.0000,46777.0000,46957.0000,47127.0000,46666.0000,46917.0000,46657.0000,46867.0000,52457.0000,47197.0000,46977.0000,46887.0000,46917.0000,46746.0000,47048.0000,47097.0000,46807.0000,46977.0000,46697.0000,46717.0000,46977.0000,46887.0000"
generating large task graphs,contracting tree topology,100,1,6494400,65042.5100,64811.4100,65438.0900,1512.1159,1043.3065,2247.1481,"benchmark,group:task-graph","64691.0000,70011.0000,68007.0000,64770.0000,64791.0000,64660.0000,64471.0000,64530.0000,64901.0000,69710.0000,65202.0000,64570.0000,64831.0000,64290.0000,64671.0000,64330.0000,64801.0000,64391.0000,64410.0000,64811.0000,64721.0000,64330.0000,64731.0000,64701.0000,64360.0000,69410.0000,64761.0000,64470.0000,64701.0000,64310.0000,64580.0000,64650.0000,64571.0000,64460.0000,64751.0000,64400.0000,64310.0000,64721.0000,64741.0000,64531.0000,73658.0000,64781.0000,64620.0000,64451.0000,64760.0000,64490.0000,64951.0000,64561.0000,64610.0000,64500.0000,64651.0000,64610.0000,64651.0000,64601.0000,64560.0000,69580.0000,64892.0000,64630.0000,64761.0000,64671.0000,64500.0000,64541.0000,64741.0000,64731.0000,64691.0000,64610.0000,64581.0000,64550.0000,64771.0000,64561.0000,64711.0000,69179.0000,64380.0000,64331.0000,64680.0000,64481.0000,64851.0000,64520.0000,64491.0000,64741.0000,64731.0000,64721.0000,64630.0000,64571.0000,64330.0000,64621.0000,69850.0000,64340.0000,64831.0000,64710.0000,64441.0000,64590.0000,64651.0000,64851.0000,64721.0000,64531.0000,64350.0000,64590.0000,64971.0000,64530.0000"
generating large task graphs,wave_sim topology,100,1,31529300,285329.4300,284589.8500,286834.2000,5185.1492,3095.1308,9966.2947,"benchmark,group:task-graph","282714.0000,288044.0000,324733.0000,298905.0000,282163.0000,282244.0000,288315.0000,282804.0000,282324.0000,281762.0000,287252.0000,281732.0000,282624.0000,287303.0000,283015.0000,283356.0000,283356.0000,288625.0000,282434.0000,282814.0000,287252.0000,282704.0000,282935.0000,282534.0000,286942.0000,284057.0000,281612.0000,283445.0000,287554.0000,282975.0000,282313.0000,291450.0000,283025.0000,283075.0000,282364.0000,287934.0000,282635.0000,282564.0000,288766.0000,282614.0000,282834.0000,282303.0000,287724.0000,282855.0000,282744.0000,287263.0000,282474.0000,282955.0000,283175.0000,288125.0000,282644.0000,283256.0000,287403.0000,282834.0000,282564.0000,283526.0000,287573.0000,283246.0000,283025.0000,291521.0000,283456.0000,282063.0000,283415.0000,289216.0000,282684.0000,282453.0000,289067.0000,284257.0000,284408.0000,283866.0000,289648.0000,283917.0000,285329.0000,289457.0000,284528.0000,284237.0000,283456.0000,289628.0000,284818.0000,284147.0000,298575.0000,284908.0000,283997.0000,284077.0000,290098.0000,284016.0000,284057.0000,294397.0000,284357.0000,284338.0000,283556.0000,288535.0000,282364.0000,282544.0000,287053.0000,282524.0000,281452.0000,282454.0000,288194.0000,282084.0000"
generating large task graphs,jacobi topology,100,1,10038400,88893.4400,88492.0600,89563.2400,2601.3021,1787.0735,3875.9325,"benchmark,group:task-graph","88405.0000,88296.0000,90710.0000,87904.0000,88385.0000,88336.0000,88225.0000,88156.0000,88315.0000,92744.0000,88106.0000,87764.0000,88176.0000,87995.0000,88135.0000,88035.0000,88135.0000,87964.0000,87955.0000,87895.0000,93225.0000,88105.0000,88085.0000,88095.0000,88175.0000,87915.0000,87865.0000,87915.0000,88015.0000,88005.0000,88035.0000,97373.0000,87925.0000,87975.0000,87584.0000,88035.0000,87935.0000,87755.0000,87704.0000,87745.0000,87724.0000,87925.0000,92283.0000,87845.0000,88115.0000,87944.0000,88156.0000,88125.0000,87815.0000,88065.0000,87815.0000,87814.0000,87815.0000,87915.0000,93866.0000,88205.0000,88055.0000,87804.0000,87645.0000,87905.0000,103073.0000,101210.0000,93436.0000,88085.0000,87965.0000,93696.0000,87854.0000,87724.0000,88005.0000,87694.0000,87634.0000,87985.0000,88105.0000,88246.0000,87734.0000,87905.0000,93666.0000,88245.0000,88155.0000,88265.0000,88116.0000,88105.0000,88255.0000,88365.0000,88206.0000,88075.0000,87905.0000,93425.0000,88055.0000,88336.0000,87925.0000,87985.0000,87945.0000,88045.0000,88055.0000,88145.0000,88035.0000,88205.0000,88015.0000,93526.0000"
generating large command graphs for N nodes - 1,soup topology,100,1,156672100,1572861.5300,1571984.7500,1573870.8400,4782.2218,3999.6926,6126.8328,"benchmark,group:command-graph","1569535.0000,1575967.0000,1583281.0000,1574164.0000,1570167.0000,1574715.0000,1571068.0000,1573563.0000,1574264.0000,1568333.0000,1576489.0000,1565337.0000,1572361.0000,1567661.0000,1578853.0000,1578512.0000,1571188.0000,1576699.0000,1573903.0000,1591406.0000,1568513.0000,1574454.0000,1578332.0000,1567882.0000,1581368.0000,1569224.0000,1577700.0000,1569054.0000,1580135.0000,1576989.0000,1574905.0000,1573132.0000,1571409.0000,1573553.0000,1571839.0000,1574996.0000,1577150.0000,1567541.0000,1576318.0000,1567061.0000,1574585.0000,1570206.0000,1577450.0000,1575025.0000,1571459.0000,1571980.0000,1567141.0000,1573693.0000,1567662.0000,1576478.0000,1577651.0000,1569064.0000,1576038.0000,1566519.0000,1573864.0000,1572250.0000,1566610.0000,1578322.0000,1568914.0000,1571809.0000,1569335.0000,1572451.0000,1578462.0000,1570878.0000,1580907.0000,1568363.0000,1577380.0000,1563243.0000,1571408.0000,1572421.0000,1569114.0000,1573342.0000,1567631.0000,1572390.0000,1570858.0000,1575296.0000,1574064.0000,1568814.0000,1574254.0000,1566349.0000,1573101.0000,1567751.0000,1590946.0000,1569225.0000,1569245.0000,1572611.0000,1567060.0000,1572020.0000,1569495.0000,1573312.0000,1575807.0000,1567241.0000,1574555.0000,1566700.0000,1571549.0000,1566028.0000,1573112.0000,1576358.0000,1573723.0000,1573613.0000"
